Year,area,Live_anim,item,feedtype,ft,Intake_DM,Intake,Supply,Loss,Loss_share
2006,Bulgaria,"Cattle, dairy","Oilseed Cakes, Other",crops,crops,775.522998476191,862.730692659154,958.58965851017,95.8589658510168,0.0999999999999998
1998,DR Congo,Sheep,Sweet potatoes,crops,crops,1.43264990145481,5.55290659478607,6.16989621642897,0.616989621642896,0.0999999999999998
1983,Israel,Camels,Molasses,crops,crops,0.618733300975461,0.822236944817888,0.913596605353209,0.0913596605353207,0.0999999999999998
1998,Poland,"Cattle, dairy",Soyabean Cake,crops,crops,105570.384328401,119966.345827728,133295.939808587,13329.5939808587,0.1
1964,Denmark,Pigs,Sorghum and products,crops,crops,82035.5141214313,94838.7446490535,105376.382943393,10537.6382943393,0.0999999999999999
2001,Italy,"Cattle, dairy",Milk - Excluding Butter,animals,animals,21794.8461561862,183149.967699044,203499.964110049,20349.9964110049,0.1
1992,Paraguay,Horses,Fodder vegetables and roots,residues,residues,161813.163270949,1618131.63270949,1797924.03634387,179792.403634387,0.1
2019,Philippines,Sheep,"Fish, Liver Oil",animals,animals,0.00411377793358193,0.00419773258528768,0.00683022555549808,0.0026324929702104,0.385418160618626
1982,Ireland,Geese,Cottonseed Cake,crops,crops,40.0474142026528,44.8710523279022,49.8567248087803,4.98567248087802,0.1
2009,Greece,Sheep,"Vegetables, Other",crops,crops,7743.21418321068,65069.0267496696,72298.918610744,7229.89186107439,0.1
1982,Finland,Pigs,Peas,crops,crops,4164.6983438302,4545.78680425345,5050.87422694828,505.087422694829,0.1
1978,Venezuela,Rabbits and hares,"Fish, Body Oil",animals,animals,3.23173730860212e-7,3.29769113122665e-7,3.6641012569185e-7,3.6641012569185e-8,0.1
1998,Iran,"Cattle, non-dairy",Fodder legumes,residues,residues_grazers,1442649.35781462,7039726.92817791,8083792.84663895,1044065.91846105,0.129155451935553
1998,Republic of Korea,"Chickens, broilers",Copra Cake,crops,crops,16276.2954589543,17905.7155764074,19895.2395293415,1989.52395293416,0.1
1964,Denmark,"Cattle, non-dairy",Maize and products,crops,crops,18225.5899288026,21143.375787474,23492.63976386,2349.263976386,0.1
1969,Bulgaria,Horses,Beans,crops,crops,30.481267367704,31.0084103435442,34.4537892706047,3.44537892706045,0.0999999999999996
